,iconname,w,h,rotate,path,compname,ID примитива,PrimitiveName,Класс CIM из IEC61970-301,"Номер в СТО 56947007-
29.240.10.035-2009","Название в СТО 56947007-
29.240.10.035-2009",Определение в ГОСТ Р 58651
103,Тележка выключателя КРУ в рабочем положении выключатель включен_f.svg,91,91,none,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель включен_f.svg,Тележка выключателя КРУ в рабочем положении выключатель включен,14.0,KruSwitchTrolleyWorkingOn,ProtectedSwitch,8 а,Тележка выключателя КРУ,
104,Выключатель нагрузки включен_f.svg,91,91,none,primitives_img/Выключатель нагрузки включен_f.svg,Выключатель нагрузки включен,2.0,LoadBreakSwitchOn,LoadBreakSwitch,2 а,Выключатель нагрузки,Выключатель нагрузки
105,Трансформатор напряжения 2-х обмоточный_r.svg,91,91,right,primitives_img/Трансформатор напряжения 2-х обмоточный_r.svg,Трансформатор напряжения 2-х обмоточный,29.0,VoltageTransformer-2Wind,PotentialTransformer,14,Трансформатор напряжения 2-х обмоточный,
106,Высокочастотный заградитель линии электропередачи_r.svg,91,91,right,primitives_img/Высокочастотный заградитель линии электропередачи_r.svg,Высокочастотный заградитель линии электропередачи,31.0,HighFrequencyLineArrester,WaveTrap,15,Высокочастотный заградитель линии электропередачи,ВЧ заградитель
107,Генератор_f.svg,91,76,none,primitives_img/Генератор_f.svg,Генератор,80.0,Generator,,,,
108,Короткозамыкатель включен_l.svg,91,91,left,primitives_img/Короткозамыкатель включен_l.svg,Короткозамыкатель включен,8.0,ShortCircuitOn,GroundSwitch,5,Короткозамыкатель,Короткозамыкатель
111,Тележка выключателя КРУ в ремонтном положении выключатель отключен_r.svg,91,91,right,primitives_img/Тележка выключателя КРУ в ремонтном положении выключатель отключен_r.svg,Тележка выключателя КРУ в ремонтном положении выключатель отключен,16.0,KruSwitchTrolleyRepairOff,ProtectedSwitch,8 в,Тележка выключателя КРУ,
112,Выключатель нагрузки отключен_f.svg,91,91,none,primitives_img/Выключатель нагрузки отключен_f.svg,Выключатель нагрузки отключен,3.0,LoadBreakSwitchOpen,LoadBreakSwitch,2 б,Выключатель нагрузки,Выключатель нагрузки
113,Двигатель_l.svg,76,91,left,primitives_img/Двигатель_l.svg,Двигатель,81.0,Engine,,,,
114,Реактор шунтирующий_r.svg,82,91,right,primitives_img/Реактор шунтирующий_r.svg,Реактор шунтирующий,39.0,ShuntReactor,ConductingEquipment,22,Реактор шунтирующий,
115,Высокочастотный заградитель линии электропередачи_f.svg,91,91,none,primitives_img/Высокочастотный заградитель линии электропередачи_f.svg,Высокочастотный заградитель линии электропередачи,31.0,HighFrequencyLineArrester,WaveTrap,15,Высокочастотный заградитель линии электропередачи,ВЧ заградитель
116,Заземляющий нож включен_f.svg,91,91,none,primitives_img/Заземляющий нож включен_f.svg,Заземляющий нож включен,6.0,GroundingKnifeOn,GroundSwitch,4 а,Заземляющий нож,Короткозамыкатель
117,Отделитель включен_r.svg,91,91,right,primitives_img/Отделитель включен_r.svg,Отделитель включен,10.0,SeparatorOn,GroundDisconnector,6 а,Отделитель,
119,Конденсатор_f.svg,91,19,none,primitives_img/Конденсатор_f.svg,Конденсатор,33.0,Capacitor,ConductingEquipment,17,Конденсатор,
120,Дугогасящие реакторы с возможностью плавного регулирования_f.svg,91,91,none,primitives_img/Дугогасящие реакторы с возможностью плавного регулирования_f.svg,Дугогасящие реакторы с возможностью плавного регулирования,28.0,ArcSuppressionReactors-ModulatingControl,PetersenCoil,13,Дугогасящие реакторы,Дугогасящая катушка Петерсена
121,Короткозамыкатель включен_r.svg,91,91,right,primitives_img/Короткозамыкатель включен_r.svg,Короткозамыкатель включен,8.0,ShortCircuitOn,GroundSwitch,5,Короткозамыкатель,Короткозамыкатель
122,Заземляющий нож включен_l.svg,91,91,left,primitives_img/Заземляющий нож включен_l.svg,Заземляющий нож включен,6.0,GroundingKnifeOn,GroundSwitch,4 а,Заземляющий нож,Короткозамыкатель
123,Тележка выключателя КРУ в рабочем положении выключатель отключен_l.svg,91,91,left,primitives_img/Тележка выключателя КРУ в рабочем положении выключатель отключен_l.svg,Тележка выключателя КРУ в рабочем положении выключатель отключен,15.0,KruSwitchTrolleyWorkingOff,ProtectedSwitch,8 б,Тележка выключателя КРУ,
124,Разрядник_f.svg,91,91,none,primitives_img/Разрядник_f.svg,Разрядник,35.0,Discharger,ConductingEquipment,19,Разрядник,
125,Трансформатор напряжения 3-х обмоточный_l.svg,82,85,left,primitives_img/Трансформатор напряжения 3-х обмоточный_l.svg,Трансформатор напряжения 3-х обмоточный,30.0,VoltageTransformer-3Wind,PotentialTransformer,14,Трансформатор напряжения 3-х обмоточный,
126,Автотрансформатор 3-х обмоточный_r.svg,119,91,right,primitives_img/Автотрансформатор 3-х обмоточный_r.svg,Автотрансформатор 3-х обмоточный,22.0,Autotransformer-3Wind,PowerTransformer,10,Автотрансформатор 3-х обмоточный,Силовой трансформатор
129,Выключатель нагрузки отключен_l.svg,91,91,left,primitives_img/Выключатель нагрузки отключен_l.svg,Выключатель нагрузки отключен,3.0,LoadBreakSwitchOpen,LoadBreakSwitch,2 б,Выключатель нагрузки,Выключатель нагрузки
