row_type,node_name_start,node_id_start,node_id_end,node_name_end,X_start,X_end,Y_start,Y_end,start_kind,start_value,start_T,end_kind,end_value,end_T,start_is_source,startIsOutlet,end_is_source,endIsOutlet,altitude_start,altitude_end,L,d,s,uphillM,effectiveD,intD,roughness,perforation,pumpDepth,model,frequency,productivity,predict_mode,shtr_debit,K_pump,VolumeWater,choke_diam,p_start,q_start,p_end,q_end,startP,startT,endP,endT,start_Q_m3_day,end_Q_m3_day,res_watercut_percent,res_liquid_density_kg_m3,res_pump_power_watt,X_kg_sec,velocity_m_sec
injection_well,к.1,к.1,к.1__скв.2в,к.1__скв.2в,439823.23,439823.23,6546342.02,6546342.02,,,,Q,6.93,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,,,,,6.93,202.6732090924,20,202.6511067777,20,,,100,1000,,6.93,
injection_well,к.38,к.38,к.38__скв.441,к.38__скв.441,439007.41,439007.41,6542717.22,6542717.22,,,,Q,0.25,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.25,194.815811567,20,194.8157474612,20,,,100,1000,,0.25,
injection_well,к.3,к.3,к.3__скв.33,к.3__скв.33,440294.71,440294.71,6548535.3,6548535.3,,,,Q,4.67,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,7,,,,4.67,197.9883561618,20,197.9773827526,20,,,100,1000,,4.67,
pipe,т.вр. к25,т.вр. к25,уз.в к28,29,уз.в к28,29,440901.12,442124.367577841,6546589.55,6545406.07956237,,,20,,,20,false,false,false,false,79,62,2703,0.168,0.016,,0.46,0.168,0.00001,,,,,,,,,,,,,,,217.1232409775,20,215.6257443941,20,,,100,1000,,4.48,0.2021015185
pipe,КНС-1 Тайлаковская,КНС-1 Тайлаковская,КНС-1 (23в),КНС-1 (23в),441550.236489935,441520.64,6546637.55635533,6546651.03,P,219,20,,,20,true,,false,false,86.9,87,25,0.273,0.02,,0.46,0.273,0.00001,,,,,,,,,,,219,,,,219,20,218.9108798168,20,11349.504,,100,1000,,28.9,0.4937222218
injection_well,к.4,к.4,к.4__скв.462,к.4__скв.462,440009.875648599,440009.875648599,6551718.3849489,6551718.3849489,,,,Q,0.4,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,32,,,,0.4,196.8064766673,20,196.8063306486,20,,,100,1000,,0.4,
pipe,т.вр. в к13,т.вр. в к13,т.вр. в к27, к24,т.вр. в к27, к24,442645.974755974,442927.825855269,6552537.35535135,6553262.22342785,,,20,,,20,false,false,false,false,84,73.6,780,0.273,0.02,,0.46,0.273,0.00001,,,,,,,,,,,,,,,211.8333304371,20,212.4368743624,20,,,100,1000,,10.7,0.1827968088
injection_well,к.23б,к.23б,к.23б__скв.501,к.23б__скв.501,436781.68,436781.68,6545404.95,6545404.95,,,,Q,1.25,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,8,,,,1.25,163.5798314215,20,163.5787547442,20,,,100,1000,,1.25,
injection_well,к.4,к.4,к.4__скв.453,к.4__скв.453,440009.875648599,440009.875648599,6551718.3849489,6551718.3849489,,,,Q,3.44,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,10,,,,3.44,196.8064766673,20,196.8000836492,20,,,100,1000,,3.44,
injection_well,к.2,к.2,к.2__скв.47,к.2__скв.47,437900.82,437900.82,6547270.63,6547270.63,,,,Q,3.89,,,false,,true,,,,,,,,,0.00001,,,,,,,,,,5,,,,3.89,142.4499739893,20,142.4420308771,20,,,100,1000,,3.89,
